color,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,5.9,0.61,0.08,2.1,0.071,16.0,3.2188758248682006,0.99376,3.56,0.77,11.1,6
0,6.1,0.24,0.27,9.8,0.062,33.0,5.030437921392435,0.9966,3.31,0.47,9.5,6
1,6.0,0.54,0.06,1.8,0.05,38.0,4.499809670330265,0.99236,3.3,0.5,10.55,6
0,7.8,0.24,0.38,2.1,0.058,14.0,5.123963979403259,0.994,3.21,0.55,9.9,5
1,7.2,0.63,0.0,1.9,0.097,14.0,3.6635616461296463,0.99675,3.37,0.58,9.0,6
0,6.7,0.31,0.3,2.1,0.038,18.0,4.875197323201151,0.9928,3.36,0.63,10.6,6
0,7.3,0.39,0.37,1.1,0.043,36.0,4.736198448394496,0.991,3.39,0.48,12.7,8
0,6.4,0.26,0.21,7.1,0.04,35.0,5.093750200806762,0.9956,3.39,0.58,9.9,6
0,7.1,0.85,0.49,8.7,0.028,40.0,5.220355825078324,0.9962,3.22,0.36,10.7,5
0,8.4,0.58,0.27,12.15,0.033,37.0,4.762173934797756,0.9959,2.99,0.39,10.8,6
0,6.6,0.24,0.28,1.8,0.028,39.0,4.890349128221754,0.99182,3.34,0.46,11.4,5
0,6.3,0.29,0.14,7.05,0.045,50.0,5.181783550292085,0.99564,3.23,0.42,9.0,5
1,9.9,0.35,0.38,1.5,0.058,31.0,3.871201010907891,0.99676,3.26,0.82,10.6,7
0,6.3,0.3,0.91,8.2,0.034,50.0,5.298317366548036,0.99394,3.39,0.49,11.7,6
0,9.2,0.27,0.34,10.5,0.043,49.0,5.43372200355424,0.9974,3.04,0.41,10.4,6
0,8.7,0.22,0.42,2.3,0.053,27.0,4.74493212836325,0.994,2.99,0.43,10.0,5
1,7.2,0.53,0.13,2.0,0.058,18.0,3.1354942159291497,0.99573,3.21,0.68,9.9,6
0,7.7,0.28,0.35,15.3,0.056,31.0,4.770684624465665,0.9998,3.27,0.5,9.6,5
1,9.1,0.45,0.35,2.4,0.08,23.0,4.3694478524670215,0.9987,3.38,0.62,9.5,5
0,6.2,0.28,0.41,5.0,0.043,50.0,5.241747015059643,0.99318,3.23,0.64,10.8,6
0,8.2,0.24,0.49,9.3,0.038,52.0,5.099866427824199,0.9952,3.02,0.33,10.6,6
0,6.3,0.24,0.22,11.9,0.05,65.0,5.19295685089021,0.99659,3.06,0.58,9.3,6
0,6.1,0.17,0.42,15.1,0.033,28.0,4.8283137373023015,0.99684,2.87,0.47,9.5,5
0,6.7,0.41,0.24,5.4,0.035,33.0,4.7535901911063645,0.9901,3.12,0.44,12.8933333333333,7
0,6.9,0.38,0.29,13.65,0.048,52.0,5.247024072160486,0.99784,3.0,0.6,9.5,6
0,7.0,0.32,0.24,6.2,0.048,31.0,5.43372200355424,0.9957,3.23,0.62,9.4,6
1,10.1,0.935,0.22,3.4,0.105,11.0,4.465908118654584,1.001,3.43,0.64,11.3,4
1,10.7,0.35,0.53,2.6,0.07,5.0,2.833213344056216,0.9972,3.15,0.65,11.0,8
0,7.5,0.31,0.24,7.1,0.031,28.0,4.955827057601261,0.99397,3.16,0.38,10.6,7
1,8.4,0.56,0.04,2.0,0.082,10.0,3.1354942159291497,0.9976,3.22,0.44,9.6,5
0,7.6,0.13,0.34,9.3,0.062,40.0,4.844187086458591,0.9966,3.21,0.39,9.6,5
1,8.1,0.87,0.0,2.2,0.084,10.0,3.4657359027997265,0.99656,3.25,0.5,9.8,5
0,7.0,0.3,0.51,13.6,0.05,40.0,5.1298987149230735,0.9976,3.07,0.52,9.6,7
0,7.0,0.23,0.42,18.05,0.05,35.0,4.976733742420574,0.9999,3.22,0.42,8.8,5
0,6.1,0.34,0.21,5.0,0.042,17.0,4.897839799950911,0.99373,3.02,0.53,9.4,5
0,6.8,0.19,0.34,1.9,0.04,41.0,4.6913478822291435,0.99,3.25,0.45,12.9,6
0,7.9,0.255,0.26,2.0,0.026,40.0,5.25227342804663,0.9932,3.04,0.39,11.2,6
1,12.4,0.4,0.51,2.0,0.059,6.0,3.2188758248682006,0.9994,3.04,0.6,9.3,6
0,7.4,0.19,0.3,12.8,0.053,48.5,5.438079308923196,0.9986,3.14,0.49,9.1,7
1,11.1,0.31,0.53,2.2,0.06,3.0,2.3978952727983707,0.99572,3.02,0.83,10.9,7
0,5.4,0.31,0.47,3.0,0.053,46.0,4.976733742420574,0.9931,3.29,0.76,10.0,5
0,7.0,0.31,0.26,7.4,0.069,28.0,5.081404364984463,0.9954,3.13,0.46,9.8,6
0,6.3,0.23,0.21,5.1,0.035,29.0,4.962844630259907,0.9942,3.36,0.33,10.1,7
0,7.1,0.12,0.32,9.6,0.054,64.0,5.093750200806762,0.9962,3.4,0.41,9.4,5
0,6.8,0.12,0.3,12.9,0.049,32.0,4.48863636973214,0.99654,3.2,0.35,9.9,6
0,7.7,0.38,0.4,2.0,0.038,28.0,5.030437921392435,0.9906,3.18,0.32,12.9,6
1,8.6,0.49,0.28,1.9,0.11,20.0,4.919980925828125,0.9972,2.93,1.95,9.9,6
0,6.1,0.2,0.17,1.6,0.048,46.0,4.867534450455582,0.991,3.3,0.43,11.4,6
1,7.7,0.58,0.01,1.8,0.088,12.0,2.9444389791664403,0.99568,3.32,0.56,10.5,7
0,7.4,0.23,0.25,1.4,0.049,43.0,4.955827057601261,0.9934,3.42,0.54,10.2,7
0,7.0,0.29,0.49,3.8,0.047,37.0,4.919980925828125,0.9938,2.95,0.4,9.4,6
0,6.4,0.16,0.22,1.4,0.04,41.0,5.0106352940962555,0.9933,3.49,0.58,10.0,6
0,9.8,0.16,0.46,1.8,0.046,23.0,4.875197323201151,0.99587,3.04,0.67,9.6,5
1,7.7,0.57,0.21,1.5,0.069,4.0,2.302585092994046,0.99458,3.16,0.54,9.8,6
0,7.0,0.21,0.28,8.6,0.045,37.0,5.402677381872279,0.9954,3.25,0.54,10.4,6
1,8.2,0.56,0.23,3.4,0.078,14.0,4.653960350157523,0.9976,3.28,0.62,9.4,5
0,6.4,0.29,0.3,6.5,0.209,62.0,5.056245805348308,0.99478,3.1,0.4,9.4,5
1,8.7,0.7,0.24,2.5,0.226,5.0,2.772588722239781,0.9991,3.32,0.6,9.0,6
0,7.0,0.26,0.59,1.4,0.037,40.0,4.795790545596741,0.9918,3.34,0.41,11.1,7
1,7.2,0.835,0.0,2.0,0.166,4.0,2.4849066497880004,0.99608,3.39,0.52,10.0,5
0,6.5,0.26,0.28,12.5,0.046,80.0,5.420534999272286,0.99685,3.18,0.41,10.0,6
0,7.2,0.28,0.54,16.7,0.045,54.0,5.303304908059076,0.999,3.08,0.49,9.5,6
0,5.2,0.31,0.2,2.4,0.027,27.0,4.770684624465665,0.98886,3.56,0.45,13.0,7
0,6.1,0.21,0.38,1.5,0.039,37.0,4.812184355372417,0.98972,3.2,0.43,12.0,6
0,7.6,0.19,0.41,1.1,0.04,38.0,4.969813299576001,0.9907,2.92,0.42,11.4,5
0,7.1,0.44,0.62,11.8,0.044,52.0,5.030437921392435,0.9975,3.12,0.46,8.7,6
1,7.3,0.51,0.18,2.1,0.07,12.0,3.367295829986474,0.99768,3.52,0.73,9.5,6
1,7.8,0.59,0.33,2.0,0.074,24.0,4.795790545596741,0.9968,3.25,0.54,9.4,5
0,6.6,0.17,0.28,1.1,0.034,55.0,4.6913478822291435,0.98939,3.0,0.52,11.9,7
0,5.6,0.235,0.29,1.2,0.047,33.0,4.852030263919617,0.991,3.34,0.5,11.0,7
0,7.1,0.15,0.34,1.0,0.033,27.0,4.30406509320417,0.98974,3.24,0.41,12.2,6
1,5.1,0.585,0.0,1.7,0.044,14.0,4.465908118654584,0.99264,3.56,0.94,12.9,7
0,7.7,0.27,0.61,12.0,0.046,64.0,5.19295685089021,0.9982,3.07,0.46,8.9,5
0,6.9,0.22,0.31,6.3,0.029,41.0,4.882801922586371,0.99326,3.08,0.49,10.8,6
0,6.9,0.22,0.32,5.8,0.041,20.0,4.787491742782046,0.99296,3.17,0.55,11.2,6
0,7.1,0.32,0.3,9.9,0.041,63.0,5.262690188904886,0.99642,3.12,0.49,10.2,6
1,9.9,0.54,0.45,2.3,0.071,16.0,3.713572066704308,0.9991,3.39,0.62,9.4,5
0,7.4,0.27,0.52,15.7,0.054,36.0,4.941642422609304,0.99788,3.04,0.62,10.0333333333333,6
0,8.9,0.3,0.35,4.6,0.032,32.0,5.003946305945459,0.99458,3.15,0.45,11.5,7
0,7.5,0.22,0.33,6.7,0.036,45.0,4.9344739331306915,0.9939,3.2,0.68,11.4,6
0,6.4,0.29,0.21,9.65,0.041,36.0,4.787491742782046,0.99334,2.99,0.34,10.9333333333333,6
1,7.3,1.07,0.09,1.7,0.178,10.0,4.499809670330265,0.9962,3.3,0.57,9.0,5
0,6.0,0.67,0.07,1.2,0.06,9.0,4.6913478822291435,0.9931,3.11,0.35,8.7,4
0,6.8,0.24,0.4,1.8,0.047,34.0,4.663439094112067,0.99,3.13,0.49,12.8,8
0,6.7,0.35,0.48,8.8,0.056,35.0,5.123963979403259,0.99628,3.04,0.47,9.4,5
0,7.9,0.345,0.51,15.3,0.047,54.0,5.147494476813453,0.9987,3.09,0.51,9.1,5
0,6.0,0.24,0.32,6.3,0.03,34.0,4.867534450455582,0.9946,3.52,0.41,10.4,5
0,7.1,0.18,0.32,12.2,0.048,36.0,4.836281906951478,0.9967,2.92,0.54,9.4,6
1,7.9,1.04,0.05,2.2,0.084,13.0,3.4011973816621555,0.9959,3.22,0.55,9.9,6
0,6.3,0.27,0.37,7.9,0.047,58.0,5.375278407684165,0.99542,3.19,0.48,9.5,6
0,8.4,0.35,0.56,13.8,0.048,55.0,5.25227342804663,0.9993,3.07,0.58,9.4,6
0,6.8,0.37,0.47,11.2,0.071,44.0,4.919980925828125,0.9968,2.98,0.88,9.2,5
1,7.5,0.52,0.16,1.9,0.085,12.0,3.58351893845611,0.9968,3.38,0.62,9.5,7
0,6.6,0.26,0.21,2.9,0.026,48.0,4.844187086458591,0.99089,3.22,0.38,11.3,7
0,7.4,0.16,0.27,15.5,0.05,25.0,4.912654885736052,0.9984,2.9,0.43,8.7,7
0,7.0,0.46,0.39,6.2,0.039,46.0,5.099866427824199,0.9928,3.21,0.35,12.2,7
0,6.4,0.29,0.3,2.9,0.036,25.0,4.382026634673881,0.99037,3.29,0.6,12.4,7
1,10.8,0.26,0.45,3.3,0.06,20.0,3.912023005428146,0.9972,3.13,0.54,9.6,5
0,7.1,0.34,0.49,1.5,0.027,26.0,4.844187086458591,0.99,3.3,0.33,12.2,7
1,9.2,0.53,0.24,2.6,0.078,28.0,4.941642422609304,0.99788,3.21,0.57,9.5,5
1,6.6,0.44,0.15,2.1,0.076,22.0,3.9889840465642745,0.9957,3.32,0.62,9.3,5
0,6.5,0.28,0.29,2.7,0.038,26.0,4.68213122712422,0.9912,3.32,0.41,11.6,7
0,6.0,0.27,0.31,5.0,0.043,54.0,5.14166355650266,0.9924,3.28,0.52,11.0,6
0,6.7,0.19,0.39,1.0,0.032,14.0,4.276666119016055,0.98912,3.31,0.38,13.0,7
1,8.7,0.7,0.24,2.5,0.226,5.0,2.772588722239781,0.9991,3.32,0.6,9.0,6
0,7.0,0.29,0.54,10.7,0.046,59.0,5.459585514144159,0.9966,3.05,0.61,9.5,5
0,7.3,0.19,0.24,6.3,0.054,34.0,5.44673737166631,0.9964,3.36,0.54,10.0,6
0,7.2,0.31,0.5,13.3,0.056,68.0,5.278114659230517,0.9982,3.01,0.47,9.2,5
1,7.1,0.62,0.06,1.3,0.07,5.0,2.5649493574615367,0.9942,3.17,0.48,9.8,5
0,4.2,0.215,0.23,5.1,0.041,64.0,5.062595033026967,0.99688,3.42,0.44,8.0,3
